"name","segment","what_they_do","town","district","province","ownership","parent","scale","pacra_number","pacra_status","isic","ncc_grade","officeholder","confidence","evidence","lat","lng","coord_basis","notes","sources"
"Alfred H. Knight (Zambia) Limited","assay_lab","Independent minerals inspection, sampling, weighing and assay laboratory services for copper and cobalt concentrates and cathode; part of the global AHK superintendence group","Kitwe","Kitwe","Copperbelt","Foreign-owned subsidiary (UK parent)","Alfred H Knight International Ltd (UK)","PACRA registration 14/01/1999","119990041960","Active","Other professional, scientific and technical activities n.e.c.",,,"high","non-registry source evidences operations","-12.8024","28.2132","town centroid, not a company address","Kitwe base corroborated by an independent Zambian business-directory listing for Alfred H Knight Ltd.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=ALFRED%20H%20KNIGHT&SortyBy=entity%20name&Direction=ASC | https://www.zambiayp.com/company/2406/Alfred_H_Knight_Ltd"
"ASSAY RESOURCES LIMITED","assay_lab","Zambian resources company, non-ferrous metal ore mining class",,,,,,,"120200001072","Active","Mining of other non-ferrous metal ores",,,"medium","registry record and/or indirect evidence only",,,,"PACRA registry record only; no town/address published in the registry API. Registered 06/02/2020. Entity type: Local Company - Limited by Shares. Not individually researched beyond the registry in this pass: name, segment and ISIC line are the full extent of the evidence, and no non-registry source has been checked. Do not treat the segment as confirmed trading or processing activity.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=ASSAY&SortyBy=entity%20name&Direction=ASC"
"AUSTRALIAN LABORATORY GROUP (ZAMBIA) LIMITED","assay_lab","ALS geochemistry and mine-site assay laboratories in Zambia, running sample preparation, fire assay and AAS analysis for copper and gold operations","Chingola","Chingola","Copperbelt","Foreign-owned; Zambian entity of the ALS testing group","ALS Limited (Brisbane, Australia)","SADCAS testing accreditation TEST-5 0027, approved 23 June 2023 and valid to 22 June 2028; ALS group employs over 15,000 staff in more than 65 countries","120100086731","Active","Hospital activities",,,"high","non-registry source evidences operations","-12.5288","27.8492","town centroid, not a company address","Registered in Zambia 02/09/2010. Trades as ALS. Zambian recruitment adverts place a laboratory at Chingola; ALS also staffs a geochemistry laboratory at the Kansanshi mine near Solwezi, North-Western Province, so treat Chingola as the primary but not the only site. The PACRA ISIC line reads 'hospital activities', which is plainly a registry classification error for a minerals laboratory. No Zambia-specific contact details are published on the ALS site.","https://www.sadcas.org/accredited-organisations/testing-laboratories | https://www.greatzambiajobs.com/jobs/job-detail/job-Lab-Analysts-job-at-ALS-71240 | https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=AUSTRALIAN%20LABORATORY&SortyBy=entity%20name&Direction=ASC"
"Bureau Veritas Zambia Limited","assay_lab","Testing, inspection and certification services; the group's minerals division provides sample preparation and assay for exploration and mining",,,,"Foreign-owned subsidiary (French parent)","Bureau Veritas SA (France)","PACRA registration 26/03/2015","120150130967","Active","Other monetary intermediation",,,"high","non-registry source evidences operations",,,,"PACRA ISIC line appears to be a registration-form artefact. The related BIVAC BV foreign registration (220110001476) is Inactive.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=BUREAU%20VERITAS&SortyBy=entity%20name&Direction=ASC"
"FUSION LABORATORY SERVICES LIMITED","assay_lab","Multidisciplinary commercial analytical laboratory in Lusaka with a mining vertical covering mineral sample analysis, ore composition and refining-process testing","Lusaka","Lusaka","Lusaka","Zambian private company",,"Single Lusaka laboratory; recruiting chemists as at 2025-2026","120251018784","Active","Technical testing and analysis",,,"high","non-registry source evidences operations","-15.4167","28.2833","town centroid, not a company address","Registered 18/01/2025, so a recent entrant. PACRA ISIC line 'technical testing and analysis' matches the business exactly. Serves agriculture, food, water and mining; the mining service line is advertised separately on its own site. Address, phone and a general info mailbox are published on its own contact page. Not SADCAS-accredited as at the current accreditation register.","https://fusionlabs.co.zm/contact | https://fusionlabs.co.zm/mining | https://fusionlabs.co.zm/about | https://www.realzambiajobs.com/detail/3711 | https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=FUSION%20LAB&SortyBy=entity%20name&Direction=ASC"
"Intertek Genalysis Zambia Limited","assay_lab","Geochemical and minerals assay laboratory (Intertek's Genalysis minerals brand) serving exploration and mining clients",,,,"Foreign-owned subsidiary (UK parent)","Intertek Group plc (UK)","PACRA registration 12/05/2008","120080072563","Active","Other professional, scientific and technical activities n.e.c.",,,"high","non-registry source evidences operations",,,,"A separate foreign-company registration, INTERTEK TESTING SERVICES (EAST AFRICA) (PROPRIETARY) LIMITED (219970001150), is also Active on PACRA.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=INTERTEK&SortyBy=entity%20name&Direction=ASC"
"JBG Mineral Laboratory Zambia Limited","assay_lab","Mineral laboratory; PACRA ISIC 'Technical testing and analysis'",,,,,,"Incorporated 22/04/2025","120251024357","Active","Technical testing and analysis",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20LABORATOR&SortyBy=entity%20name&Direction=ASC"
"SGS Inspection Services Limited","assay_lab","SGS's Zambian inspection, sampling and analytical testing company serving minerals trade and mine site laboratories",,,,"Foreign-owned subsidiary (Swiss parent)","SGS SA (Switzerland)","PACRA registration 22/06/2005","120050059164","Active","Other professional, scientific and technical activities n.e.c.",,,"high","non-registry source evidences operations",,,,"The older 'SGS ZAMBIA LIMITED' (119710006331, registered 1971) is Inactive on PACRA; the Active operating vehicle is SGS Inspection Services Limited.","https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=SGS&SortyBy=entity%20name&Direction=ASC"
"Sherdon Materials Laboratory","assay_lab","Materials testing laboratory on the NCC register with a Lusaka classification","Lusaka","Lusaka","Lusaka","NCC ownership classification: male",,,,,,,,"medium","registry record and/or indirect evidence only","-15.4167","28.2833","town centroid, not a company address","Materials (construction) testing rather than mineral assay; recorded as adjacent laboratory capacity. Grade column blank in the published NCC PDF.","https://www.ncc.org.zm/wp-content/uploads/2026/07/2026-List-of-Contractors-as-at-30th-June-2026.pdf"
"Veritech Mineral Laboratory","assay_lab","Registered business name operating a mineral laboratory; PACRA ISIC 'Technical testing and analysis'",,,,"Zambian registered business name (sole proprietor / partnership form)",,"Registered 22/03/2019","320190004429","Active","Technical testing and analysis",,,"medium","registry record and/or indirect evidence only",,,,,"https://xatu.pacra.org.zm:8344/api/v1/Search/registrysearch?Searchtext=MINERAL%20LABORATOR&SortyBy=entity%20name&Direction=ASC"
