"dispute","category","years","lat","lng","summary","source","source_url"
"Vedanta/KCM provisional liquidation & settlement","tax-corporate-dispute","2019–2024","-12.37","27.83","In May 2019 state firm ZCCM-IH petitioned to wind up Konkola Copper Mines (Chililabombwe/Chingola), placing it under a provisional liquidator; Vedanta pursued arbitration in Johannesburg and injunctions against asset sell-offs. A Sept 2022 standstill led to settlement: in 2024 the Lusaka High Court lifted the liquidation, ZCCM-IH withdrew its petition, and Vedanta regained control, committing ~$250M to pay KCM creditors.","Lusaka Times","https://www.lusakatimes.com/2024/07/26/vedanta-resources-takes-over-konkola-copper-mines/"
"Glencore's Mopani exit and IRH takeover","tax-corporate-dispute","2021–2024","-12.82","28.21","In 2021 Glencore sold Mopani (Kitwe/Mufulira) to ZCCM-IH for $1, leaving Mopani owing Glencore $1.5B in transaction debt that strained the state balance sheet. In 2023–24 Zambia selected Abu Dhabi's IRH as 51% strategic investor with a $1.1B injection; the Glencore debt was restructured with $300M repaid via an IRH shareholder loan plus a copper-price-linked royalty.","Mining.com / Glencore","https://www.mining.com/web/zambia-seeks-to-restructure-glencore-debt-with-new-mopani-investor/"
"First Quantum $7.9B ZRA tax assessment","tax-corporate-dispute","2018–2019","-12.08","26.43","In March 2018 the Zambia Revenue Authority assessed First Quantum (Kansanshi, Solwezi) $7.9B for allegedly underpaid import duties on ~$540M of equipment — $150M duties plus $2.1B penalties and $5.7B interest. FQM 'unequivocally refuted' the assessment; no bill near that size was ever enforced, with analysts expecting settlement at a small fraction of the claim.","Bloomberg","https://www.bloomberg.com/news/articles/2018-03-20/first-quantum-confirms-7-9-billion-zambian-tax-assessment"
"ZCCM-IH vs First Quantum: Kansanshi $1.4B arbitration","tax-corporate-dispute","2016–2020","-12.10","26.40","ZCCM-IH (20% Kansanshi shareholder) sued FQM in 2016 for $1.4B+, alleging Kansanshi lent ~$2.3B to FQM Finance at below-market interest without minority consent. A tribunal ruled in Feb 2018 that ZCCM failed to establish a prima facie case; a parallel Lusaka High Court claim went FQM's way in March 2020. The parties later reached commercial accommodation on Kansanshi dividends/royalties (2022).","The Globe and Mail / ZCCM-IH","https://www.zccm-ih.com.zm/2020/03/30/zccm-ih-to-appeal-against-the-lusaka-high-court-judgment-delivered-in-favour-of-first-quantum-minerals/"
"Kangaluwi mine in Lower Zambezi National Park","environmental-litigation","2013–2023","-15.35","29.65","ZEMA rejected Mwembeshi Resources' EIA for the Kangaluwi open-pit copper mine inside Lower Zambezi National Park in 2012, but the minister overturned the rejection in 2014, triggering a decade of NGO litigation. The High Court (2019) and Court of Appeal (2021) dismissed appeals largely on procedural technicalities; in May 2023 ZEMA found Mwembeshi in breach of environmental conditions and ordered all mining and construction in the park to cease.","Business & Human Rights Resource Centre","https://www.business-humanrights.org/en/latest-news/zambia-court-authorises-controversial-mining-to-proceed-on-a-technicality/"
"Kasenseli gold mine suspension","illegal-mining","2020–2024","-11.74","24.43","ZCCM-IH's Zambia Gold Company began mining at Kasenseli (Mwinilunga) in 2020, but the site was plagued by illegal-miner incursions, fatalities, and allegations of gold theft and smuggling. Government suspended operations in October 2021, citing among other things the absence of a legally appointed mine manager; after K42M in remedial works, the mine officially reopened in November 2024.","Lusaka Times / ZCCM-IH","https://www.zccm-ih.com.zm/2024/11/17/kasenseli-gold-mine-re-opened/"
"Luapula sugilite scandal ('SugiGate')","illegal-mining","2023–2024","-11.97","28.75","Illegal mining and export of rare purple sugilite from the Muombe mine area (Chembe District, Luapula) implicated senior officials: the Provincial Minister was fired over alleged K2M kickbacks, and 19 people including the ex-minister and a police commissioner were arrested in July 2023. Later operations seized ~60 tonnes of sugilite and 20 more suspects in Mansa.","Lusaka Times / News Diggers","https://www.lusakatimes.com/2023/07/08/former-minister-and-police-commissioner-amongst-19-arrested-sugigate/"
"Black Mountain slag dump collapse, Kitwe","illegal-mining","2018","-12.83","28.22","On 20 June 2018 part of Kitwe's 'Black Mountain' — a cobalt/copper-rich slag dump worked by informal 'jerabo' miners after a portion was ceded to youth cooperatives — collapsed onto miners below, killing at least 10–11. The dump has seen recurring deaths, illegal blasting and gang-controlled extraction; government has repeatedly reallocated shares of the dump to small-scale groups.","Lusaka Times","https://www.lusakatimes.com/2018/06/20/at-least-10-people-are-confirmed-dead-and-eight-injured-at-the-black-mountain-collapse/"
"KKIA fake-gold jet seizure (Egypt–Zambia scandal)","fraud-scam","2023–2024","-15.33","28.45","On 13 August 2023 authorities seized a private jet from Cairo at Kenneth Kaunda International Airport carrying $5.7M cash, 602 bars of fake gold (copper/zinc passed off as ~$7.6M in bullion), pistols and ammunition; 11 Egyptians and Zambians were detained. In a 2024 consent judgment ~$5M was forfeited to the state and the jet released; Zambian suspects faced espionage charges.","BBC / OCCRP","https://www.occrp.org/en/news/egyptian-tycoon-revealed-as-owner-of-jet-in-zambian-gold-scam-case"
"Lusaka fake-gold dealer scams","fraud-scam","2023–2025","-15.42","28.28","Lusaka has seen recurring gold-plated/fake-bullion scams targeting foreign buyers: in October 2025 police re-arrested dealer Shadreck Kasanda in a fresh gold scandal, and the Drug Enforcement Commission arrested two Zambians over a $224,000 scam in which a buyer paid for a 30kg consignment later claimed 'lost in transit', with a linked case involving 72 fake gold bars.","News Diggers / Zambia Monitor","https://diggers.news/local/2025/10/20/police-nab-kasanda-in-another-gold-scandal/"
"Sino-Metals Leach tailings dam failure, Chambishi","environmental-litigation","2025–2026","-12.65","28.05","On 18 February 2025 a tailings containment at Chinese state-owned Sino-Metals Leach Zambia (Chambishi) failed, releasing ~50 million litres of acidic, heavy-metal-laden waste into the Mwambashi/Kafue river system, killing fish up to 100 km downstream and forcing Kitwe to shut its water supply. Residents sued; compensation to 454 households was only paid mid-2025, with ~500 Kalusale residents still lacking farmland and clean water a year later.","Human Rights Watch","https://www.hrw.org/news/2025/09/11/zambia-acid-spill-jeopardizes-residents-health"
"Serenje–Mkushi manganese mining suspension","environmental-litigation","2019–2022","-13.23","30.24","A manganese rush in Central Province brought unregulated pits and a ferroalloy plant to Serenje, leaving workers with manganism-type permanent disabilities and communities with pollution complaints. In July 2022 government suspended manganese mining in Serenje and Mkushi pending environmental and licensing compliance reviews; advocacy groups continue to press for worker compensation.","News Diggers / Resource Justice Network","https://resourcejustice.org/serenjes-toxic-legacy-why-zambias-mineral-wealth-must-come-with-justice/"
"Illegal manganese mining, Chifunabuli (Luapula)","illegal-mining","2019–2023","-11.80","29.55","Small-scale licence holders in Luapula complained of widespread illegal manganese digging and buying, which continued in Chifunabuli District despite a court injunction obtained by Danley Mining restraining unlicensed miners. Local miners also protested that manganese licences over Luapula ground were being issued in Lusaka to outsiders, fuelling conflict.","Phoenix FM","https://www.phoenixfm.co.zm/business/small-scale-miners-complain-of-widespread-illegal-manganese-mining-activities-in-luapula-province/"
"Grizzly Mining vs Kagem/Gemfields (Kamakanga claim)","license-dispute","2024–2026","-13.04","28.10","In December 2024 rival emerald producer Grizzly Mining, sister company Pridegems and owner Abdoulaye Ndiaye sued Kagem Mining (75% Gemfields, 25% IDC) over alleged unlawful occupation of the 'Kamakanga House' area in the Ndola Rural Emerald Restricted Area (Lufwanyama) and 'conspiracy to injure business reputation'. Gemfields calls the claims meritless; litigation ongoing as of 2025–26.","IOL Business Report","https://iol.co.za/business-report/companies/gemfields-unscathed-by-mozambique-civil-unrest-readies-defence-against-zambian-claim-9831a4f7-7e2b-4f9f-8bd0-0521090e3e7f"
"Gemfields vs 15% emerald export duty","tax-corporate-dispute","2024–2025","-13.00","28.14","Zambia's reintroduction of a 15% export duty on precious gemstones from 1 January 2025 prompted Gemfields to pause emerald auctions and lobby for reversal, warning it made Kagem uneconomic on top of the 6% mineral royalty; combined with weak emerald prices, Gemfields temporarily suspended mining at Kagem in 2025. Government later moved to suspend the duty under industry pressure.","Mining Weekly","https://www.miningweekly.com/article/gemfields-urges-zambia-to-reconsider-emerald-export-duty-2025-01-08"
"Kikonge gold rush crackdown, Mufumbwe","illegal-mining","2025–2026","-13.68","24.80","A gold rush at Kikonge in Mufumbwe District drew over 25,000 illegal miners, some armed and backed by undocumented foreigners; clashes killed two people and injured 11 police officers before mobile police dispersed the camp in 2025, seizing weapons, excavators and hundreds of gold detectors. In January 2026 Zambia Army commandos cleared remaining miners and shut down the illegal 'Swahiri' and 'Ukraine' markets.","News Diggers / Zambian Eye","https://diggers.news/local/2026/01/25/zambia-army-disperses-mufumbwe-illegal-miners/"
"CNMC Luanshya Baluba shutdown standoff","license-dispute","2015","-13.08","28.35","In September 2015 CNMC Luanshya Copper Mines suspended its Baluba shaft and put ~1,600 workers on forced leave, citing low copper prices and the power crisis, without consulting the Mineworkers Union. Government publicly threatened to revoke CNMC Luanshya's mining licence unless workers were re-hired; Baluba went onto care and maintenance and was only revived years later.","Reuters via BizNews / HRW","https://www.biznews.com/africa/2015/09/14/zambia-to-withdraw-copper-miners-licence-if-laid-off-workers-not-re-hired"
"Chingola (Seseli pit) illegal-mining landslide","illegal-mining","2023","-12.53","27.86","On the night of 30 November–1 December 2023, rain-triggered landslides buried informal miners digging unauthorized tunnels in waste dumps at the Seseli open-pit area in Chingola, killing at least seven with more than 20 missing and presumed drowned. The disaster highlighted endemic illegal artisanal mining around Chingola's KCM pits and dumps.","AP / Al Jazeera","https://www.aljazeera.com/news/2023/12/5/zambia-digs-for-miners-buried-in-open-pit-mudslide"
