"category","name","year_started","status","description","value_usd","entities","entity_ids","source_name","source_url","note"
"international_initiative","US-DRC-Zambia MOU on electric vehicle battery value chains","2022","announced","Signed in December 2022 on the margins of the US-Africa Leaders Summit, the trilateral MOU commits the United States to support development of an integrated EV battery value chain from mine to precursor/cell assembly in DRC and Zambia, including feasibility support and investment facilitation. It is the US policy umbrella under which later Lobito Corridor and KoBold engagements in Zambia were framed.",,"US Department of State | Government of Zambia | Government of DRC","","SAFE (Securing America's Future Energy) - DRC-Zambia Issue Brief","https://secureenergy.org/wp-content/uploads/2024/02/DRC-Zambia-Issue-Brief_vF.pdf","Snippet/secondary source; original State Department media note of Dec 2022 referenced therein."
"international_initiative","Zambia-DRC cooperation agreement on electric battery value chain","2022","stalled","Signed 29 April 2022 in Lusaka with UNECA facilitation, committing the two countries (70%+ of world cobalt, ~10% of copper between them) to jointly develop battery precursor, battery and eventually EV manufacturing in transboundary special economic zones. A Council of Ministers and technical committees were set up, but by 2024-2026 the pre-feasibility study's status was unclear, plant siting was disputed, and no precursor plant had broken ground.",,"Government of Zambia | Government of DRC | UNECA | Afreximbank","","UNECA - Zambia and DRC Sign Cooperation Agreement to manufacture electric batteries","https://www.uneca.org/stories/zambia-and-drc-sign-cooperation-agreement-to-manufacture-electric-batteries","Primary source (UNECA). Status assessment: NRGI (https://resourcegovernance.org/publications/drc-zambia-battery-plant-key-considerations-governments-2024) reports conflicting statements on the feasibility study and disagreement over plant location."
"international_initiative","Afreximbank-UNECA framework agreement and ARISE IIP pre-feasibility for BEV SEZs","2023","completed study; implementation pending","In March 2023 Afreximbank and UNECA signed a framework agreement to establish special economic zones for battery-electric-vehicle production in DRC and Zambia, and engaged ARISE Integrated Industrial Platforms to run the pre-feasibility study (launched April 2023). ARISE presented findings to both governments in 2024; Zambian ministers said feasibility studies were 'done' in April 2024, but results were not published.",,"Afreximbank | UNECA | ARISE IIP | Government of Zambia | Government of DRC","","Afreximbank - Framework Agreement towards establishing Special Economic Zones for Battery Electric Vehicles in DRC and Zambia","https://www.afreximbank.com/afreximbank-and-eca-sign-framework-agreement-towards-establishing-special-economic-zones-for-the-production-of-battery-electric-vehicles-in-drc-and-zambia%EF%BF%BC/","Primary source (Afreximbank release); 'studies done' claim reported by News Diggers (https://diggers.news/business/2024/04/25/feasibility-studies-for-electric-vehicle-batteries-are-done-govt/)."
"international_initiative","EU-Zambia Strategic Partnership on critical raw materials value chains","2023","in force (roadmap agreed)","Non-binding MoU signed at the Global Gateway Forum in Brussels in October 2023, covering the entire raw-materials value chain with explicit emphasis on local value addition, ESG standards, infrastructure and skills. A joint operational roadmap of concrete actions was agreed within six months, under the EU Global Gateway programme (EUR 300 billion 2021-2027 envelope); EU-funded activities include gemstone skills training via the ILO.",,"European Commission | Government of Zambia","","European Commission - Global Gateway: EU signs strategic partnerships on critical raw materials value chains with DRC and Zambia","https://ec.europa.eu/commission/presscorner/detail/en/ip_23_5303","Primary source (EC press corner); roadmap detail at https://international-partnerships.ec.europa.eu/policies/global-gateway/critical-raw-materials-crm-partnership-roadmap-zambia_en"
"international_initiative","Lobito Trans-Africa Corridor and Zambia-Lobito rail (minerals corridor MOU)","2023","under development","A seven-party MOU (US, EU, Angola, DRC, Zambia, AfDB, Africa Finance Corporation) signed in October 2023 to develop the Lobito Corridor linking the Zambian-Congolese Copperbelt to the Atlantic; the greenfield Zambia-Lobito rail line has AFC as lead developer. US commitments reached roughly US$4 billion (total partner commitments ~US$6 billion) by December 2024, and KoBold Metals signed an MOU with AFC in October 2024 to anchor the Zambian leg with output from its Mingomba copper discovery - primarily an export-logistics play, but pitched as enabling processing investment along the corridor.","4000000000","United States (PGI) | European Union | Africa Finance Corporation | AfDB | Government of Zambia | KoBold Metals","","White House - FACT SHEET: Partnership for Global Infrastructure and Investment in the Lobito Trans-Africa Corridor","https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2024/12/03/fact-sheet-partnership-for-global-infrastructure-and-investment-in-the-lobito-trans-africa-corridor/","Primary source (archived White House fact sheet). value_usd is the cumulative US commitment to the corridor, not Zambia-specific."
"national_project","Gemstone Processing and Lapidary Training Centre (GPLTC), Ndola",,"operational","Government training centre in Ndola offering a two-year gemstone cutting and polishing programme plus short courses in identification, grading and gemstone enterprise - the skills base for in-country emerald beneficiation. In 2025-2026 it received modern lapidary and gemmological equipment through an ILO/EU-supported project and a Kagem Mining donation (six cutting/polishing machines, sawing and calibrating machines) with a two-year partnership including student visits to the Lufwanyama emerald mine.",,"GPLTC | Ministry of Mines and Minerals Development | ILO | European Union | Kagem Mining Ltd | Gemfields","","Mining Weekly - Kagem donates gemstone processing equipment to Zambian training centre","https://www.miningweekly.com/article/kagem-donates-gemstone-processing-equipment-to-zambian-training-centre-2026-05-15","Snippet-based; GPLTC official site: https://gpltc.ac.zm/. ILO/EU support reported July 2026."
"national_project","Kasenseli Gold Mine (Zambia Gold Company)","2020","operational (re-opened November 2024)","State gold project in Mwinilunga, North-Western Province, developed by Zambia Gold Company with an initial ~K45 million injection for exploration and mining; conceived to feed a domestic gold refining and reserves-building chain rather than raw export. Mining was suspended by the Mines Safety Department in 2021-2022 (no gold sales in 2022) and President Hichilema officially re-opened the mine in November 2024.",,"Zambia Gold Company Ltd | ZCCM-IH | Ministry of Finance and National Planning","ZCCM_IH","ZCCM-IH - Kasenseli Gold Mine Re-Opened","https://www.zccm-ih.com.zm/2024/11/17/kasenseli-gold-mine-re-opened/","Primary source (ZCCM-IH announcements)."
"national_project","3 Million Tonnes Copper Production Strategy by 2031","2022","in progress (behind schedule)","The flagship national target to more than triple copper output to 3 million tonnes per year by 2031, built on brownfield revivals (KCM, Mopani ~1.4 Mt by 2030), greenfield projects and exploration, with an accompanying value-addition and local-content agenda; government cites ~US$14 billion in pledged and actualised mining investment. Production was 890,346 t in 2025 - the second straight year of growth but short of the interim 1 Mt target.","14000000000","Ministry of Mines and Minerals Development | Konkola Copper Mines | Mopani Copper Mines | First Quantum Minerals | Barrick","KANSANSHI | KCM | MOPANI","Ministry of Mines and Mineral Development - Three Million Tonnes Copper Production Strategy by 2031","https://www.mmmd.gov.zm/?p=3161","Primary source (ministry). Independent feasibility analysis: ZIPAR (https://zipar.org.zm/striking-while-the-irons-hot-zambias-strategy-to-triple-copper-output-by-2031/); 2025 output figure from African Leadership Magazine."
"national_project","EV battery manufacturing plant, Ndola (feasibility stage)","2023","stalled","Government announced plans to start car/EV battery manufacturing 'before end of 2024', with a feasibility study for a plant in Ndola declared complete by Commerce Minister Chipoka Mulenga in April 2024, in partnership with Chinese investors and linked to the DRC-Zambia battery initiative. As of 2026 no plant had been commissioned and study results were not published.",,"Ministry of Commerce, Trade and Industry | Government of Zambia","","News Diggers - Feasibility studies for Electric Vehicle batteries are done - Govt","https://diggers.news/business/2024/04/25/feasibility-studies-for-electric-vehicle-batteries-are-done-govt/","Snippet-based; 'before end of 2024' claim via Lusaka Provincial Administration (https://www.lsk.gov.zm/?p=2441)."
"national_project","Kobaloni Energy cobalt sulphate refinery (Africa's first)","2024","under construction","Kobaloni Energy, backed by Vision Blue Resources (Mick Davis) and the Africa Finance Corporation with roughly US$100 million, is building Africa's first cobalt sulphate refinery at Chambishi, one of few plants outside China able to make battery-grade cobalt sulphate. Government presented it as a flagship of the Critical Minerals Strategy with first output targeted for end-2025.","100000000","Kobaloni Energy | Vision Blue Resources | Africa Finance Corporation","","Mining.com / Bloomberg - Africa moves a step closer to continent's first cobalt refinery","https://www.mining.com/web/africa-moves-a-step-closer-to-continents-first-cobalt-refinery/","Snippet-based; operational status as of 2026 not independently confirmed in sources reviewed."
"policy","10% export duty on copper ores and concentrates (Customs and Excise Act)",,"in force (suspended by waiver since August 2025)","Zambia levies a 10% export duty on copper concentrates under the Customs and Excise Act, explicitly designed as an industrial-policy lever to make raw concentrate export unattractive relative to domestic smelting. The duty's bite depends on domestic smelter capacity; when smelters are down, government has waived it rather than let concentrate stockpile.",,"Zambia Revenue Authority | Ministry of Finance and National Planning","","Mining.com / Reuters - Zambia extends duty-free copper concentrate export duty waiver","https://www.mining.com/web/zambia-extends-duty-free-copper-concentrate-export-duty-waiver-amid-smelter-outages/","Snippet-based. Rate confirmed at 10% (not 15%) in 2025-2026 trade press; original introduction year of the concentrate export duty not pinned down in sources reviewed. The duty's beneficiation logic applies mainly to sulphide ores (concentrated then smelted); oxide ores are typically leached to cathode via SX-EW on site and never pass through the concentrate stage, so the lever bites unevenly across ore types."
