"entity","entity_id","counterparty","link_type","commodity","value_usd","volume","period","status","description","source_name","source_url"
"Chambishi Copper Smelter (CCS)",,"CNMC (60%) / Yunnan Copper Industry Group (40%); Chinese refineries","offtake","blister/anode copper",,"~220,000-230,000 t blister/anode per year, most shipped to China","2009-","active","CCS - China's first large overseas pyrometallurgical copper smelter, a CNMC/Yunnan Copper JV commissioned 2009 - smelts Copperbelt concentrates into blister and anode copper, the majority of which is shipped to China (including Yunnan Copper's system) for refining.","Fastmarkets; SMM (metal.com) site visit report","https://www.fastmarkets.com/insights/cnmcs-zambian-copper-mine-begins-trial-operations"
"Chambishi Metals Plc (ERG cobalt/copper refinery, Kitwe)",,"Shepherd Chemical Company (Ohio, USA)","offtake","cobalt metal",,"2 shipments, 22,172 kg total (2015)","2015","legacy (refinery on care & maintenance for much of period since)","US customs manifests show Chambishi Metals shipping drums of cobalt metal to Shepherd Chemical (specialty cobalt chemicals producer), evidencing the refinery's US chemical-sector sales channel before its care-and-maintenance periods.","ImportYeti (US CBP AMS manifests)","https://www.importyeti.com/supplier/chambishi-metals"
"CNMC Luanshya Copper Mines Plc","CNMC_LUANSHYA","Gerald Metals (Morges, Switzerland)","marketing","copper cathode",,"503,601 kg (single manifest, 2016)","2016","legacy evidence","A March 2016 US import manifest shows CNMC Luanshya cathodes consigned to trader Gerald Metals, evidencing trading-house intermediation of CNMC Zambian cathode into Atlantic markets alongside the group's China-bound flows.","ImportYeti (US CBP AMS manifests)","https://www.importyeti.com/supplier/cnmc-luanshya-copper-mines"
"First Quantum Minerals (Kansanshi, Sentinel/Kalumbila)",,"Ports of Dar es Salaam, Durban, Walvis Bay","corridor","copper",,,"ongoing","active","Kalumbila/Sentinel exports move by road to Dar es Salaam, Durban and Walvis Bay; FQM co-funded upgrading of the 371 km Mutanda-Kaoma road, a key route for outbound copper to Walvis Bay and Durban. US-bound FQM cathode/anode manifests show Durban load ports.","Langmead & Baker (FQM communications); Wikipedia Kalumbila Mine; ImportYeti","https://www.langmead.com/fqm-supports-transformative-road-project-in-zambia/"
"Kagem Mining (Gemfields 75% / IDC Zambia 25%)",,"Gemfields auction platform (Jaipur viewings, Bangkok sales, online)","auction_channel","emeralds (rough)","79000000","2025 auction revenues ~$79m; cumulative ~$1.15bn over 53 auctions since 2009","2009-","active","Kagem's sole route to market is Gemfields' sealed-bid rough-emerald auctions (higher-quality and commercial-quality cycles; e.g. Aug-Sep 2025 higher-quality auction $32.0m at 100% sell-through, Nov-Dec 2025 commercial auction $25.4m), historically held in Jaipur, Bangkok, Singapore and Lusaka.","Gemfields auction results; Mining Weekly","https://www.gemfieldsgroup.com/auction-results-higher-quality-emeralds-12-9-25/"
"Kansanshi Mining Plc (FQM)",,"Minera Panama S.A. (FQM intra-group)","trucking","mining equipment (intra-group logistics, not minerals)",,"6 manifests 2015-2017 (cranes, scaffolding) plus 4 Kalumbila manifests 2016-2020","2015-2020","legacy evidence","US customs manifests document FQM's intra-group equipment logistics chain from Kansanshi/Kalumbila via Durban to Cobre Panama - evidence of the group's Durban road corridor capacity that also carries its Zambian metal exports.","ImportYeti (US CBP AMS manifests)","https://www.importyeti.com/supplier/kansanshi-mining"
"Kansanshi Mining Plc / First Quantum Minerals",,"Jiangxi Copper Company","financing_offtake","copper anode","500000000","50,000 t copper anode per annum","2024-2027 (3-year)","active","FQM signed a $500m three-year copper prepayment agreement with Jiangxi Copper (announced with FY2023 results) providing for delivery of 50kt of copper anode per annum from Kansanshi, payable at market prices; the prepaid amount amortizes against deliveries in years two and three.","First Quantum Minerals FY2023 annual report / MD&A (PDF fetched)","https://www.first-quantum.com/English/investors/annual-reports/"
"Kansanshi Mining Plc / First Quantum Minerals",,"Jiangxi Copper Company","financing_offtake","copper anode","500000000","additional 50,000 t Zambian copper anode per annum","2025-2028 (3-year)","active","On April 23, 2025 FQM supplemented the Jiangxi Copper sale with an additional $500m prepayment for delivery of an additional 50kt of Zambian copper anode per annum at market prices over three years - bringing total Jiangxi prepayments to $1.0bn / ~100kt/yr of Kansanshi anode.","First Quantum Minerals FY2025 annual report / MD&A (PDF fetched)","https://www.first-quantum.com/English/investors/annual-reports/"
"Kansanshi Mining Plc / First Quantum Minerals",,"Royal Gold (RGLD Gold AG)","stream","gold (referenced to Kansanshi copper production)","1000000000","75 oz gold per million lb recovered copper until 425,000 oz delivered, stepping down to 45 oz","from August 5, 2025","active","FQM received a $1.0bn upfront payment from Royal Gold under a gold streaming agreement referenced to Kansanshi copper production, with ongoing production payments to FQM of 20% of spot gold (rising to 35% on rating/leverage triggers).","First Quantum Minerals FY2025 annual report / MD&A (PDF fetched)","https://www.first-quantum.com/English/investors/annual-reports/"
"Kansanshi smelter (FQM)",,"Trident/Sentinel (FQM) and third-party Zambian miners","offtake","copper concentrate -> copper anode",,"1.38 Mtpa concentrate capacity expanding to 1.6 Mtpa; ~170,929 t anode produced 2025; third-party-attributable anode sales 31,421 t (2024), 12,899 t (2025)","2015-","active","The Kansanshi smelter treats Kansanshi and Sentinel concentrate plus purchased third-party concentrate, producing copper anode (and sulphuric acid); FQM discloses separate anode sales attributable to third-party concentrate purchases, and is expanding capacity to reduce reliance on third-party smelters.","First Quantum Minerals FY2023 and FY2025 annual reports (PDFs fetched)","https://www.first-quantum.com/English/investors/annual-reports/"
